District Name,School Code,School Name,State Board Region,Grade Span
Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,09-13
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010308,Altamahaw-Ossipee Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010311,Career and Technical Education Center,Piedmont-Triad,09-12
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010346,B. Everett Jordan Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010347,Audrey W. Garrett Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010348,Graham High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010378,Ray Street Academy,Piedmont-Triad,06-12
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010384,South Mebane Elementary,Piedmont-Triad,0K-05
Alamance-Burlington Schools,010388,Southern Alamance High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010390,Southern Alamance Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010392,Sylvan Elementary,Piedmont-Triad,PK-05
Alamance-Burlington Schools,010394,Turrentine Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010396,Walter M Williams High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010400,Western Alamance High,Piedmont-Triad,09-12
Alamance-Burlington Schools,010403,Western Alamance Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont-Triad,06-08
Alamance-Burlington Schools,010450,Alamance Virtual School,Piedmont-Triad,0K-12
Alexander County Schools,020302,Alexander Central High,Northwest,09-12
Alexander County Schools,020303,Alexander Early College,Northwest,09-12
Alexander County Schools,020304,Bethlehem Elementary,Northwest,PK-05
Alexander County Schools,020306,East Alexander Middle,Northwest,06-08
Alexander County Schools,020308,Ellendale Elementary,Northwest,0K-05
Alexander County Schools,020310,Alexander Virtual Academy,Northwest,04-08
Alexander County Schools,020316,Hiddenite Elementary,Northwest,PK-05
Alexander County Schools,020320,Stony Point Elementary,Northwest,PK-05
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest,0K-05
Alexander County Schools,020328,Taylorsville Elementary,Northwest,PK-05
Alexander County Schools,020330,West Alexander Middle,Northwest,06-08
Alexander County Schools,020332,Wittenburg Elementary,Northwest,PK-05
Alleghany County Schools,030304,Alleghany High,Northwest,09-12
Alleghany County Schools,030308,Glade Creek Elementary,Northwest,PK-08
Alleghany County Schools,030316,Piney Creek Elementary,Northwest,PK-08
Alleghany County Schools,030320,Sparta Elementary,Northwest,PK-08
Anson County Schools,040304,Anson Co. Early College High,Southwest,09-13
Anson County Schools,040306,Anson High School,Southwest,09-12
Anson County Schools,040308,Ansonville Elementary,Southwest,0K-05
Anson County Schools,040309,Anson Middle,Southwest,06-08
Anson County Schools,040311,Wadesboro Primary,Southwest,0K-03
Anson County Schools,040316,Lilesville Elementary,Southwest,0K-05
Anson County Schools,040324,Morven Elementary,Southwest,0K-05
Anson County Schools,040328,Peachland-Polkton Elem,Southwest,0K-05
Anson County Schools,040330,Wadesboro Elementary,Southwest,04-05
Ashe County Schools,050302,Ashe County High,Northwest,09-12
Ashe County Schools,050303,Ashe County Early College High,Northwest,09-13
Ashe County Schools,050305,Ashe County Middle,Northwest,07-08
Ashe County Schools,050310,Blue Ridge Elementary,Northwest,0K-06
Ashe County Schools,050330,Mountain View Elementary,Northwest,PK-06
Ashe County Schools,050335,Westwood Elementary,Northwest,0K-06
Avery County Schools,060302,Avery County High,Northwest,09-12
Avery County Schools,060304,Banner Elk Elementary,Northwest,PK-05
Avery County Schools,060310,Cranberry Middle,Northwest,06-08
Avery County Schools,060316,Crossnore Elementary,Northwest,PK-05
Avery County Schools,060318,Avery Middle,Northwest,06-08
Avery County Schools,060322,Freedom Trail Elementary,Northwest,PK-05
Avery County Schools,060328,Newland Elementary,Northwest,PK-05
Avery County Schools,060332,Riverside Elementary,Northwest,PK-05
Beaufort County Schools,070302,Eastern Elementary,Northeast,PK-01
Beaufort County Schools,070308,Bath Elementary,Northeast,0K-08
Beaufort County Schools,070310,B C Ed Tech Center,Northeast,06-12
Beaufort County Schools,070311,Beaufort Co Early College High,Northeast,09-13
Beaufort County Schools,070325,Chocowinity Middle,Northeast,05-08
Beaufort County Schools,070326,Chocowinity Primary,Northeast,PK-04
Beaufort County Schools,070327,John C Tayloe Elementary,Northeast,02-03
Beaufort County Schools,070328,John Small Elementary,Northeast,04-05
Beaufort County Schools,070329,Northeast Elementary,Northeast,PK-08
Beaufort County Schools,070330,Northside High,Northeast,09-12
Beaufort County Schools,070338,P S Jones Middle,Northeast,06-08
Beaufort County Schools,070339,Southside High,Northeast,09-12
Beaufort County Schools,070340,S W Snowden Elementary,Northeast,PK-08
Beaufort County Schools,070342,Washington High,Northeast,09-12
Bertie County Schools,080311,Bertie Early College High,Northeast,09-13
Bertie County Schools,080312,Bertie High,Northeast,09-12
Bertie County Schools,080314,Bertie Middle,Northeast,06-08
Bertie County Schools,080348,Aulander Elementary,Northeast,PK-05
Bertie County Schools,080356,West Bertie Elementary,Northeast,PK-05
Bertie County Schools,080360,Colerain Elementary,Northeast,PK-05
Bertie County Schools,080362,Windsor Elementary,Northeast,PK-05
Bladen County Schools,090315,Bladenboro Middle,Sandhills,05-08
Bladen County Schools,090317,Bladenboro Primary,Sandhills,PK-04
Bladen County Schools,090318,Bladen Lakes Primary,Sandhills,PK-04
Bladen County Schools,090320,Clarkton School of Discovery,Sandhills,05-08
Bladen County Schools,090324,Dublin Primary,Sandhills,PK-04
Bladen County Schools,090328,East Arcadia Elementary,Sandhills,0K-04
Bladen County Schools,090330,East Bladen High,Sandhills,09-12
Bladen County Schools,090332,Elizabethtown Middle,Sandhills,05-08
Bladen County Schools,090333,Elizabethtown Primary,Sandhills,PK-04
Bladen County Schools,090352,Plain View Primary,Sandhills,PK-04
Bladen County Schools,090365,Tar Heel Middle,Sandhills,05-08
Bladen County Schools,090368,West Bladen High,Sandhills,09-12
Bladen County Schools,090376,Bladen Early College,Sandhills,09-12
Brunswick County Schools,100302,Belville Elementary,Southeast,PK-05
Brunswick County Schools,100304,Bolivia Elementary,Southeast,PK-05
Brunswick County Schools,100307,Brunswick County Early College,Southeast,09-13
Brunswick County Schools,100308,The COAST,Southeast,06-12
Brunswick County Schools,100309,Cedar Grove Middle,Southeast,06-08
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,Southeast,0K-05
Brunswick County Schools,100316,Leland Middle,Southeast,06-08
Brunswick County Schools,100320,Lincoln Elementary,Southeast,0K-05
Brunswick County Schools,100326,North Brunswick High,Southeast,09-12
Brunswick County Schools,100332,Shallotte Middle,Southeast,06-08
Brunswick County Schools,100334,South Brunswick High,Southeast,09-12
Brunswick County Schools,100335,South Brunswick Middle,Southeast,06-08
Brunswick County Schools,100336,Southport Elementary,Southeast,0K-05
Brunswick County Schools,100338,Supply Elementary,Southeast,PK-05
Brunswick County Schools,100339,Town Creek Elementary,Southeast,0K-04
Brunswick County Schools,100340,Union Elementary,Southeast,0K-05
Brunswick County Schools,100341,Town Creek Middle,Southeast,05-08
Brunswick County Schools,100342,Virginia Williamson Elem,Southeast,PK-05
Brunswick County Schools,100344,Waccamaw,Southeast,0K-08
Brunswick County Schools,100348,West Brunswick High,Southeast,09-12
Buncombe County Schools,110303,Community High School,Western,PK-12
Buncombe County Schools,110304,Reynolds High,Western,PK-12
Buncombe County Schools,110306,Reynolds Middle,Western,06-08
Buncombe County Schools,110308,Barnardsville Elementary,Western,PK-04
Buncombe County Schools,110318,Black Mountain Elementary,Western,04-05
Buncombe County Schools,110320,Black Mountain Primary,Western,PK-03
Buncombe County Schools,110322,Early College,Western,09-13
Buncombe County Schools,110323,Middle College,Western,11-13
Buncombe County Schools,110324,Candler Elementary,Western,PK-04
Buncombe County Schools,110326,Cane Creek Middle,Western,06-08
Buncombe County Schools,110332,Bell Elementary,Western,PK-05
Buncombe County Schools,110336,Owen High,Western,09-12
Buncombe County Schools,110338,Owen Middle,Western,06-08
Buncombe County Schools,110340,Erwin High,Western,PK-12
Buncombe County Schools,110342,Erwin Middle,Western,07-08
Buncombe County Schools,110348,Emma Elementary,Western,0K-04
Buncombe County Schools,110352,Enka High,Western,09-12
Buncombe County Schools,110356,Fairview Elementary,Western,0K-05
Buncombe County Schools,110366,Glen Arden Elementary,Western,PK-04
Buncombe County Schools,110368,Haw Creek Elementary,Western,PK-05
Buncombe County Schools,110370,Hominy Valley Elementary,Western,0K-04
Buncombe County Schools,110372,Johnston Elementary,Western,PK-04
Buncombe County Schools,110376,Leicester Elementary,Western,PK-04
Buncombe County Schools,110379,North Buncombe Elementary,Western,PK-04
Buncombe County Schools,110380,North Buncombe High,Western,PK-12
Buncombe County Schools,110381,North Buncombe Middle,Western,07-08
Buncombe County Schools,110382,North Windy Ridge Intermediate,Western,05-06
Buncombe County Schools,110384,Oakley Elementary,Western,PK-05
Buncombe County Schools,110388,Pisgah Elementary,Western,0K-04
Buncombe County Schools,110401,Enka Middle,Western,07-08
Buncombe County Schools,110408,Sand Hill-Venable Elem,Western,PK-04
Buncombe County Schools,110410,Avery's Creek Elementary,Western,PK-04
Buncombe County Schools,110412,Williams Elementary,Western,PK-05
Buncombe County Schools,110416,Roberson High,Western,PK-12
Buncombe County Schools,110420,Valley Springs Middle,Western,05-08
Buncombe County Schools,110422,Estes Elementary,Western,PK-05
Buncombe County Schools,110425,Enka Intermediate,Western,05-06
Buncombe County Schools,110428,Weaverville Elementary,Western,02-04
Buncombe County Schools,110432,Weaverville Primary,Western,PK-01
Buncombe County Schools,110436,West Buncombe Elementary,Western,0K-04
Buncombe County Schools,110444,Woodfin Elementary,Western,0K-05
Buncombe County Schools,110450,Koontz Intermediate,Western,05-06
Buncombe County Schools,110451,Eblen Intermediate,Western,05-06
Buncombe County Schools,110475,Buncombe County Schools Virtual Academy,Western,0K-12
Buncombe County Schools,110500,Nesbitt Discovery Academy,Western,09-12
Asheville City Schools,111302,Asheville High,Western,PK-12
Asheville City Schools,111304,Hall Fletcher Elementary,Western,PK-05
Asheville City Schools,111306,Isaac Dickson Elementary,Western,PK-05
Asheville City Schools,111312,Claxton Elementary,Western,0K-05
Asheville City Schools,111332,Ira B Jones Elementary,Western,PK-05
Asheville City Schools,111356,Asheville Middle,Western,06-08
Asheville City Schools,111360,Lucy S. Herring Elementary,Western,PK-05
Asheville City Schools,111369,Montford North Star Academy,Western,06-08
Asheville City Schools,111700,School of Inquiry and Life Sciences,Western,09-12
Burke County Schools,120300,Burke Virtual Academy,Northwest,0K-12
Burke County Schools,120308,Hallyburton Academy,Northwest,06-12
Burke County Schools,120310,Burke Middle College,Northwest,11-12
Burke County Schools,120312,Drexel Elementary,Northwest,PK-05
Burke County Schools,120314,East Burke High,Northwest,09-12
Burke County Schools,120315,East Burke Middle,Northwest,06-08
Burke County Schools,120316,Forest Hill Elementary,Northwest,PK-05
Burke County Schools,120318,Freedom High,Northwest,09-12
Burke County Schools,120320,George Hildebrand Elementary,Northwest,PK-05
Burke County Schools,120324,Glen Alpine Elementary,Northwest,PK-05
Burke County Schools,120334,Heritage Middle,Northwest,06-08
Burke County Schools,120338,Hildebran Elementary,Northwest,PK-05
Burke County Schools,120340,Hillcrest Elementary,Northwest,PK-05
Burke County Schools,120344,Icard Elementary,Northwest,PK-05
Burke County Schools,120346,Jimmy C Draughn High School,Northwest,09-12
Burke County Schools,120350,Liberty Middle,Northwest,06-08
Burke County Schools,120352,North Liberty,Northwest,PK-12
Burke County Schools,120354,Mountain View Elementary,Northwest,PK-05
Burke County Schools,120360,Mull Elementary,Northwest,PK-05
Burke County Schools,120364,Oak Hill Elementary,Northwest,PK-05
Burke County Schools,120368,Ray Childers Elementary,Northwest,PK-05
Burke County Schools,120370,Robert L. Patton High School,Northwest,09-12
Burke County Schools,120374,Salem Elementary,Northwest,PK-05
Burke County Schools,120376,Table Rock Middle,Northwest,06-08
Burke County Schools,120380,Valdese Elementary,Northwest,PK-05
Burke County Schools,120386,W A Young Elementary,Northwest,PK-05
Burke County Schools,120390,Walter R Johnson Middle,Northwest,06-08
Cabarrus County Schools,130304,A T Allen Elementary,Southwest,0K-05
Cabarrus County Schools,130307,Cox Mill High School,Southwest,09-12
Cabarrus County Schools,130308,Bethel Elementary,Southwest,PK-05
Cabarrus County Schools,130309,Beverly Hills Elementary,Southwest,0K-05
Cabarrus County Schools,130310,Central Cabarrus High,Southwest,09-12
Cabarrus County Schools,130311,Coltrane-Webb Elementary,Southwest,0K-05
Cabarrus County Schools,130312,Harrisburg Elementary,Southwest,PK-05
Cabarrus County Schools,130313,Concord Middle,Southwest,06-08
Cabarrus County Schools,130314,Concord High,Southwest,09-12
Cabarrus County Schools,130315,J N Fries Magnet School,Southwest,06-08
Cabarrus County Schools,130316,Jay M Robinson High,Southwest,09-12
Cabarrus County Schools,130317,Cabarrus Co Opportunity School,Southwest,06-12
Cabarrus County Schools,130318,C C Griffin Middle,Southwest,06-08
Cabarrus County Schools,130319,Cox Mill Elementary,Southwest,0K-05
Cabarrus County Schools,130320,Harris Road Middle,Southwest,06-08
Cabarrus County Schools,130321,Carl A Furr Elementary,Southwest,0K-05
Cabarrus County Schools,130322,Mount Pleasant Elementary,Southwest,0K-05
Cabarrus County Schools,130323,Mount Pleasant Middle,Southwest,06-08
Cabarrus County Schools,130324,Mount Pleasant High,Southwest,09-12
Cabarrus County Schools,130325,Charles E Boger Elementary,Southwest,PK-05
Cabarrus County Schools,130326,Northwest Cabarrus High,Southwest,09-12
Cabarrus County Schools,130327,Northwest Cabarrus Middle,Southwest,06-08
Cabarrus County Schools,130328,Royal Oaks Elementary,Southwest,0K-08
Cabarrus County Schools,130329,Rocky River Elementary,Southwest,PK-05
Cabarrus County Schools,130330,R Brown McAllister Elementary,Southwest,0K-05
Cabarrus County Schools,130331,Pitts School Road Elementary,Southwest,0K-05
Cabarrus County Schools,130332,Hickory Ridge High,Southwest,09-12
Cabarrus County Schools,130333,Performance Learning Center,Southwest,06-12
Cabarrus County Schools,130336,W R Odell Primary,Southwest,0K-02
Cabarrus County Schools,130337,W R Odell Elementary,Southwest,03-05
Cabarrus County Schools,130338,Weddington Hills Elementary,Southwest,0K-05
Cabarrus County Schools,130339,West Cabarrus High,Southwest,09-12
Cabarrus County Schools,130340,Winecoff Elementary,Southwest,PK-05
Cabarrus County Schools,130342,W M Irvin Elementary,Southwest,PK-05
Cabarrus County Schools,130344,Wolf Meadow Elementary,Southwest,0K-05
Cabarrus County Schools,130345,Patriots Elementary,Southwest,0K-05
Cabarrus County Schools,130346,Hickory Ridge Middle,Southwest,06-08
Cabarrus County Schools,130347,Hickory Ridge Elementary,Southwest,0K-05
Cabarrus County Schools,130348,Cabarrus Health Sciences Institute,Southwest,09-09
Cabarrus County Schools,130349,Cabarrus Early College of Technology,Southwest,09-13
Cabarrus County Schools,130350,Cabarrus-Kannapolis Early Coll,Southwest,09-13
Cabarrus County Schools,130355,Harold E. Winkler Middle,Southwest,06-08
Cabarrus County Schools,130356,Cabarrus County Schools Virtual Academy,Southwest,0K-12
Cabarrus County Schools,130357,Roberta Road Middle,Southwest,06-08
Kannapolis City Schools,132304,A L Brown High,Southwest,09-12
Kannapolis City Schools,132308,Forest Park Elementary,Southwest,PK-05
Kannapolis City Schools,132312,Fred L Wilson Elementary,Southwest,0K-05
Kannapolis City Schools,132314,GW Carver Elementary,Southwest,0K-05
Kannapolis City Schools,132328,Jackson Park Elementary,Southwest,0K-05
Kannapolis City Schools,132330,Kannapolis Middle,Southwest,06-08
Kannapolis City Schools,132332,Shady Brook Elementary,Southwest,0K-05
Kannapolis City Schools,132336,North Kannapolis Elementary,Southwest,0K-05
Caldwell County Schools,140304,Baton Elementary,Northwest,PK-05
Caldwell County Schools,140305,Caldwell Applied Sciences Academy,Northwest,09-12
Caldwell County Schools,140306,Gateway School,Northwest,06-12
Caldwell County Schools,140307,Horizons Elementary,Northwest,0K-05
Caldwell County Schools,140308,Collettsville School,Northwest,PK-08
Caldwell County Schools,140309,Caldwell Early College,Northwest,09-13
Caldwell County Schools,140312,Davenport A+ School,Northwest,PK-05
Caldwell County Schools,140316,Dudley Shoals Elementary,Northwest,PK-05
Caldwell County Schools,140324,Gamewell Elementary,Northwest,PK-05
Caldwell County Schools,140332,Gamewell Middle,Northwest,06-08
Caldwell County Schools,140336,Granite Falls Middle,Northwest,06-08
Caldwell County Schools,140340,Granite Falls Elementary,Northwest,PK-05
Caldwell County Schools,140344,Happy Valley Elementary,Northwest,PK-08
Caldwell County Schools,140348,Hibriten High,Northwest,09-12
Caldwell County Schools,140352,Hudson Elementary,Northwest,PK-05
Caldwell County Schools,140356,Hudson Middle,Northwest,06-08
Caldwell County Schools,140360,Kings Creek Elementary,Northwest,PK-08
Caldwell County Schools,140368,William Lenoir Middle,Northwest,06-08
Caldwell County Schools,140372,Lower Creek Elementary,Northwest,PK-05
Caldwell County Schools,140384,Sawmills Elementary,Northwest,PK-05
Caldwell County Schools,140386,South Caldwell High,Northwest,PK-12
Caldwell County Schools,140388,Valmead Elementary,Northwest,PK-05
Caldwell County Schools,140390,West Caldwell High,Northwest,09-12
Caldwell County Schools,140396,Whitnel Elementary,Northwest,PK-05
Camden County Schools,150304,Camden County High,Northeast,09-12
Camden County Schools,150308,Grandy Primary,Northeast,PK-03
Camden County Schools,150310,Camden Intermediate,Northeast,04-06
Camden County Schools,150312,Camden Middle,Northeast,07-08
Camden County Schools,150350,Camden Early College High,Northeast,09-13
Carteret County Public Schools,160304,Atlantic Elementary,Southeast,PK-05
Carteret County Public Schools,160306,Bogue Sound Elementary,Southeast,PK-05
Carteret County Public Schools,160308,Beaufort Elementary,Southeast,PK-05
Carteret County Public Schools,160309,Bridges School,Southeast,06-12
Carteret County Public Schools,160310,Beaufort Middle,Southeast,05-08
Carteret County Public Schools,160311,Broad Creek Middle,Southeast,06-08
Carteret County Public Schools,160313,East Carteret High,Southeast,09-12
Carteret County Public Schools,160314,Croatan High,Southeast,09-12
Carteret County Public Schools,160316,Harkers Island Elementary,Southeast,0K-05
Carteret County Public Schools,160317,Morehead Elem at Camp Glenn,Southeast,04-05
Carteret County Public Schools,160318,Morehead City Middle,Southeast,06-08
Carteret County Public Schools,160322,Morehead City Primary,Southeast,PK-03
Carteret County Public Schools,160324,Newport Elementary,Southeast,0K-05
Carteret County Public Schools,160326,Newport Middle,Southeast,06-08
Carteret County Public Schools,160332,Down East Middle and Smyrna Elementary,Southeast,PK-08
Carteret County Public Schools,160343,Marine Sci. and Tech. Early College HS,Southeast,12-13
Carteret County Public Schools,160344,West Carteret High,Southeast,09-12
Carteret County Public Schools,160352,White Oak Elementary,Southeast,PK-05
Caswell County Schools,170316,Bartlett Yancey High,Piedmont-Triad,09-12
Caswell County Schools,170334,North Elementary,Piedmont-Triad,PK-05
Caswell County Schools,170338,N L Dillard Middle,Piedmont-Triad,06-08
Caswell County Schools,170339,Oakwood Elementary,Piedmont-Triad,PK-05
Caswell County Schools,170342,South Elementary,Piedmont-Triad,PK-05
Caswell County Schools,170344,Stoney Creek Elementary,Piedmont-Triad,0K-05
Catawba County Schools,180302,Harry M Arndt Middle,Northwest,07-08
Catawba County Schools,180304,Balls Creek Elementary,Northwest,PK-06
Catawba County Schools,180308,Bandys High,Northwest,PK-12
Catawba County Schools,180312,Banoak Elementary,Northwest,0K-06
Catawba County Schools,180316,Blackburn Elementary,Northwest,0K-06
Catawba County Schools,180320,Bunker Hill High,Northwest,09-12
Catawba County Schools,180323,Catawba Rosenwald Education Center,Northwest,0K-12
Catawba County Schools,180324,Catawba Elementary School,Northwest,PK-06
Catawba County Schools,180325,Challenger Early College High,Northwest,09-12
Catawba County Schools,180326,Charles H Tuttle Elementary,Northwest,0K-06
Catawba County Schools,180332,Claremont Elementary,Northwest,PK-06
Catawba County Schools,180336,Clyde Campbell Elementary,Northwest,PK-06
Catawba County Schools,180340,Fred T Foard High,Northwest,PK-12
Catawba County Schools,180342,Jacobs Fork Middle,Northwest,07-08
Catawba County Schools,180343,Lyle Creek Elementary,Northwest,PK-06
Catawba County Schools,180344,Maiden Elementary,Northwest,PK-06
Catawba County Schools,180346,Maiden Middle School,Northwest,07-08
Catawba County Schools,180348,Maiden High,Northwest,09-12
Catawba County Schools,180352,Mill Creek Middle,Northwest,07-08
Catawba County Schools,180356,Mountain View Elementary,Northwest,0K-06
Catawba County Schools,180360,Oxford Elementary,Northwest,PK-06
Catawba County Schools,180364,River Bend Middle,Northwest,07-08
Catawba County Schools,180368,Sherrills Ford Elementary,Northwest,0K-06
Catawba County Schools,180372,Saint Stephens Elementary,Northwest,0K-06
Catawba County Schools,180376,Saint Stephens High,Northwest,PK-12
Catawba County Schools,180379,Snow Creek Elementary,Northwest,PK-06
Catawba County Schools,180380,Startown Elementary,Northwest,PK-06
Catawba County Schools,180388,Webb A Murray Elementary,Northwest,PK-06
Hickory City Schools,181312,Northview Middle,Northwest,06-08
Hickory City Schools,181316,Grandview Middle,Northwest,06-08
Hickory City Schools,181318,Hickory Career Arts Magnet High School,Northwest,09-12
Hickory City Schools,181322,Hickory High,Northwest,PK-12
Hickory City Schools,181326,W M Jenkins Elementary,Northwest,0K-05
Hickory City Schools,181332,Longview Elementary,Northwest,03-05
Hickory City Schools,181336,Oakwood Elementary,Northwest,PK-05
Hickory City Schools,181342,Southwest Primary,Northwest,PK-02
Hickory City Schools,181344,Viewmont Elementary,Northwest,PK-05
Newton Conover City Schools,182304,Conover Special Education,Northwest,PK-12
Newton Conover City Schools,182316,Newton-Conover High,Northwest,09-12
Newton Conover City Schools,182321,Newton-Conover Middle,Northwest,06-08
Newton Conover City Schools,182322,Shuford Elementary,Northwest,0K-05
Newton Conover City Schools,182324,South Newton Elementary,Northwest,PK-05
Newton Conover City Schools,182328,North Newton Elementary,Northwest,PK-05
Newton Conover City Schools,182700,Discovery High School,Northwest,09-12
Chatham County Schools,190304,Bennett School,North Central,PK-08
Chatham County Schools,190308,Bonlee School,North Central,0K-08
Chatham County Schools,190309,Chatham County Schools Virtual Academy,North Central,0K-12
Chatham County Schools,190310,SAGE Academy,North Central,09-12
Chatham County Schools,190312,Chatham Middle,North Central,06-08
Chatham County Schools,190316,Chatham Central High,North Central,09-12
Chatham County Schools,190328,Horton Middle,North Central,05-08
Chatham County Schools,190332,J S Waters School,North Central,0K-08
Chatham County Schools,190336,Jordan Matthews High,North Central,09-12
Chatham County Schools,190339,Margaret B. Pollard Middle,North Central,06-08
Chatham County Schools,190340,Moncure School,North Central,0K-08
Chatham County Schools,190341,North Chatham Elementary,North Central,PK-05
Chatham County Schools,190342,Northwood High,North Central,09-12
Chatham County Schools,190346,Perry W Harrison Elementary,North Central,PK-05
Chatham County Schools,190348,Pittsboro Elementary,North Central,PK-04
Chatham County Schools,190349,Seaforth High,North Central,09-11
Chatham County Schools,190350,Siler City Elementary,North Central,PK-05
Chatham County Schools,190352,Silk Hope School,North Central,PK-08
Chatham County Schools,190354,Chatham Grove Elementary,North Central,PK-05
Chatham County Schools,190370,Virginia Cross Elementary,North Central,PK-05
Chatham County Schools,190501,Chatham School of Science & Engineering,North Central,09-13
Cherokee County Schools,200304,Andrews Elementary,Western,PK-05
Cherokee County Schools,200308,Andrews High,Western,09-12
Cherokee County Schools,200310,Andrews Middle,Western,06-08
Cherokee County Schools,200312,Hiwassee Dam Elementary/Middle,Western,PK-08
Cherokee County Schools,200314,Hiwassee Dam High,Western,09-12
Cherokee County Schools,200320,Martins Creek Elementary/Mid,Western,PK-08
Cherokee County Schools,200322,The Oaks Academy,Western,06-12
Cherokee County Schools,200324,Murphy Elementary,Western,PK-05
Cherokee County Schools,200328,Murphy High,Western,09-12
Cherokee County Schools,200330,Murphy Middle,Western,06-08
Cherokee County Schools,200332,Peachtree Elementary,Western,PK-05
Cherokee County Schools,200336,Ranger Elementary/Middle,Western,PK-08
Cherokee County Schools,200350,Tri-County Early College High,Western,09-13
Edenton-Chowan Schools,210304,Chowan Middle,Northeast,06-08
Edenton-Chowan Schools,210306,D F Walker Elementary,Northeast,03-05
Edenton-Chowan Schools,210312,John A Holmes High,Northeast,09-12
Edenton-Chowan Schools,210316,White Oak Elementary,Northeast,PK-02
Clay County Schools,220306,Hayesville Primary School,Western,PK-02
Clay County Schools,220308,Hayesville Elementary,Western,03-05
Clay County Schools,220310,Hayesville High,Western,09-12
Clay County Schools,220312,Hayesville Middle,Western,06-08
Cleveland County Schools,230304,Bethware Elementary,Southwest,PK-04
Cleveland County Schools,230308,Boiling Springs Elementary,Southwest,PK-05
Cleveland County Schools,230312,Burns High,Southwest,09-12
Cleveland County Schools,230316,Burns Middle,Southwest,06-08
Cleveland County Schools,230320,Casar Elementary,Southwest,PK-05
Cleveland County Schools,230322,Cleveland ECHS,Southwest,09-13
Cleveland County Schools,230323,Cleveland Innovation,Southwest,0K-12
Cleveland County Schools,230324,Crest High,Southwest,09-12
Cleveland County Schools,230328,Crest Middle,Southwest,06-08
Cleveland County Schools,230330,Turning Point Academy,Southwest,06-12
Cleveland County Schools,230334,East Elementary,Southwest,PK-04
Cleveland County Schools,230336,Elizabeth Elementary,Southwest,PK-05
Cleveland County Schools,230340,Fallston Elementary,Southwest,PK-05
Cleveland County Schools,230344,Grover Elementary,Southwest,PK-04
Cleveland County Schools,230346,James Love Elementary,Southwest,PK-05
Cleveland County Schools,230348,Jefferson Elementary,Southwest,PK-05
Cleveland County Schools,230350,Kings Mountain High,Southwest,09-12
Cleveland County Schools,230351,Kings Mountain Intermediate,Southwest,05-06
Cleveland County Schools,230352,Kings Mountain Middle,Southwest,07-08
Cleveland County Schools,230357,North Elementary,Southwest,PK-04
Cleveland County Schools,230359,North Shelby,Southwest,PK-12
Cleveland County Schools,230361,Shelby High,Southwest,09-12
Cleveland County Schools,230362,Shelby Middle,Southwest,06-08
Cleveland County Schools,230364,Springmore Elementary,Southwest,PK-05
Cleveland County Schools,230368,Township Three Elementary,Southwest,PK-05
Cleveland County Schools,230370,Union Elementary,Southwest,PK-05
Cleveland County Schools,230376,Washington Elementary,Southwest,PK-05
Cleveland County Schools,230380,West Elementary,Southwest,PK-04
Columbus County Schools,240308,Acme Delco Elementary,Sandhills,PK-06
