,CTE,Employment
0,AGNR,98
1,ARCH,"4,344"
2,MANU,"6,027"
3,MRKT,"4,223"
4,TRAN,"4,258"
5,INFO,801
6,FINA,999
7,STEM,"2,399"
8,BMA,"3,858"
9,EDUC,"6,121"
10,HLTH,"10,099"
11,AAVC,"3,180"
12,HOSP,"10,644"
13,HUMA,"2,058"
